DEPOSIT_1,DEPOSIT_2,NUM_DAYS
144,154,19
805,1350,15
130,1429,16
1456,1936,14
428,1960,15
1223,2313,14
51,2570,15
990,2690,14
2528,2854,13
757,3067,14
2384,3087,13
2240,3320,13
524,3444,14
2096,3553,13
1952,3786,13
291,3821,14
1808,4019,13
58,4198,14
1664,4252,13
4225,4400,12
1520,4485,13
4136,4544,12
4047,4688,12
1376,4718,13
3958,4832,12
1232,4951,13
3869,4976,12
3780,5120,12
1088,5184,13
3691,5264,12
3602,5408,12
944,5417,13
3513,5552,12
800,5650,13
3424,5696,12
3335,5840,12
656,5883,13
3246,5984,12
512,6116,13
3157,6128,12
3068,6272,12
368,6349,13
2979,6416,12
2890,6560,12
224,6582,13
2801,6704,12
80,6815,13
2712,6848,12
6920,6984,11
2623,6992,12
6865,7073,11
2534,7136,12
6810,7162,11
6755,7251,11
2445,7280,12
6700,7340,11
2356,7424,12
6645,7429,11
6590,7518,11
2267,7568,12
6535,7607,11
6480,7696,11
2178,7712,12
6425,7785,11
2089,7856,12
6370,7874,11
6315,7963,11
2000,8000,12
6260,8052,11
6205,8141,11
1911,8144,12
6150,8230,11
1822,8288,12
6095,8319,11
6040,8408,11
1733,8432,12
5985,8497,11
1644,8576,12
5930,8586,11
5875,8675,11
1555,8720,12
5820,8764,11
5765,8853,11
1466,8864,12
5710,8942,11
1377,9008,12
5655,9031,11
5600,9120,11
1288,9152,12
5545,9209,11
1199,9296,12
5490,9298,11
5435,9387,11
1110,9440,12
5380,9476,11
5325,9565,11
1021,9584,12
5270,9654,11
932,9728,12
5215,9743,11
5160,9832,11
843,9872,12
5105,9921,11
5050,10010,11
754,10016,12
4995,10099,11
665,10160,12
4940,10188,11
4885,10277,11
576,10304,12
4830,10366,11
487,10448,12
4775,10455,11
4720,10544,11
398,10592,12
4665,10633,11
4610,10722,11
309,10736,12
4555,10811,11
220,10880,12
4500,10900,11
4445,10989,11
131,11024,12
4390,11078,11
4335,11167,11
42,11168,12
4280,11256,11
11218,11265,10
11184,11320,10
4225,11345,11
11150,11375,10
11116,11430,10
4170,11434,11
11082,11485,10
4115,11523,11
11048,11540,10
11014,11595,10
4060,11612,11
10980,11650,10
4005,11701,11
10946,11705,10
10912,11760,10
3950,11790,11
10878,11815,10
10844,11870,10
3895,11879,11
10810,11925,10
3840,11968,11
10776,11980,10
10742,12035,10
3785,12057,11
10708,12090,10
10674,12145,10
3730,12146,11
10640,12200,10
3675,12235,11
10606,12255,10
10572,12310,10
3620,12324,11
10538,12365,10
3565,12413,11
10504,12420,10
10470,12475,10
3510,12502,11
10436,12530,10
10402,12585,10
3455,12591,11
10368,12640,10
3400,12680,11
10334,12695,10
10300,12750,10
3345,12769,11
10266,12805,10
3290,12858,11
10232,12860,10
10198,12915,10
